"idplayer","name","age","position","college","draftteam","draftposition","draftyear","born","experience"
262,"Tyler Johnson",0,"noData","noData","noData",0,0,NULL,0
263,"Damian Lillard",0,"noData","noData","noData",0,0,NULL,0
264,"Norman Powell",0,"noData","noData","noData",0,0,NULL,0
265,"CJ McCollum",0,"noData","noData","noData",0,0,NULL,0
266,"Robert Covington",0,"noData","noData","noData",0,0,NULL,0
267,"Jusuf Nurkić",0,"noData","noData","noData",0,0,NULL,0
268,"Anfernee Simons",0,"noData","noData","noData",0,0,NULL,0
269,"Enes Freedom",0,"noData","noData","noData",0,0,NULL,0
270,"Derrick Jones Jr.",0,"noData","noData","noData",0,0,NULL,0
271,"T.J. Leaf",0,"noData","noData","noData",0,0,NULL,0
272,"Harry Giles",0,"noData","noData","noData",0,0,NULL,0
273,"Keljin Blevins",0,"noData","noData","noData",0,0,NULL,0
274,"Nassir Little",0,"noData","noData","noData",0,0,NULL,0
275,"CJ Elleby",0,"noData","noData","noData",0,0,NULL,0
276,"Rondae Hollis-Jefferson",0,"noData","noData","noData",0,0,NULL,0
277,"Michael Porter Jr.",0,"noData","noData","noData",0,0,NULL,0
278,"Nikola Jokić",0,"noData","noData","noData",0,0,NULL,0
279,"Austin Rivers",0,"noData","noData","noData",0,0,NULL,0
280,"Facundo Campazzo",0,"noData","noData","noData",0,0,NULL,0
281,"Aaron Gordon",0,"noData","noData","noData",0,0,NULL,0
282,"Monte Morris",0,"noData","noData","noData",0,0,NULL,0
283,"Markus Howard",0,"noData","noData","noData",0,0,NULL,0
284,"JaMychal Green",0,"noData","noData","noData",0,0,NULL,0
285,"Paul Millsap",0,"noData","noData","noData",0,0,NULL,0
286,"Bol Bol",0,"noData","noData","noData",0,0,NULL,0
287,"Vlatko Čančar",0,"noData","noData","noData",0,0,NULL,0
288,"JaVale McGee",0,"noData","noData","noData",0,0,NULL,0
289,"Zeke Nnaji",0,"noData","noData","noData",0,0,NULL,0
290,"Shaquille Harrison",0,"noData","noData","noData",0,0,NULL,0
291,"Russell Westbrook",0,"noData","noData","noData",0,0,NULL,0
292,"Bradley Beal",0,"noData","noData","noData",0,0,NULL,0
293,"Rui Hachimura",0,"noData","noData","noData",0,0,NULL,0
294,"Raul Neto",0,"noData","noData","noData",0,0,NULL,0
295,"Alex Len",0,"noData","noData","noData",0,0,NULL,0
296,"Dāvis Bertāns",0,"noData","noData","noData",0,0,NULL,0
297,"Ish Smith",0,"noData","noData","noData",0,0,NULL,0
298,"Daniel Gafford",0,"noData","noData","noData",0,0,NULL,0
299,"Robin Lopez",0,"noData","noData","noData",0,0,NULL,0
300,"Isaac Bonga",0,"noData","noData","noData",0,0,NULL,0
301,"Chandler Hutchison",0,"noData","noData","noData",0,0,NULL,0
302,"Anthony Gill",0,"noData","noData","noData",0,0,NULL,0
303,"Garrison Mathews",0,"noData","noData","noData",0,0,NULL,0
304,"Cassius Winston",0,"noData","noData","noData",0,0,NULL,0
305,"Ben Simmons",0,"noData","noData","noData",0,0,NULL,0
306,"Tobias Harris",0,"noData","noData","noData",0,0,NULL,0
307,"Seth Curry",0,"noData","noData","noData",0,0,NULL,0
308,"Danny Green",0,"noData","noData","noData",0,0,NULL,0
309,"Joel Embiid",0,"noData","noData","noData",0,0,NULL,0
310,"George Hill",0,"noData","noData","noData",0,0,NULL,0
311,"Dwight Howard",0,"noData","noData","noData",0,0,NULL,0
312,"Matisse Thybulle",0,"noData","noData","noData",0,0,NULL,0
313,"Shake Milton",0,"noData","noData","noData",0,0,NULL,0
314,"Tyrese Maxey",0,"noData","noData","noData",0,0,NULL,0
315,"Furkan Korkmaz",0,"noData","noData","noData",0,0,NULL,0
316,"Isaiah Joe",0,"noData","noData","noData",0,0,NULL,0
317,"Anthony Tolliver",0,"noData","noData","noData",0,0,NULL,0
318,"Mike Scott",0,"noData","noData","noData",0,0,NULL,0
319,"Paul Reed",0,"noData","noData","noData",0,0,NULL,0
320,"Anthony Davis",0,"noData","noData","noData",0,0,NULL,0
321,"LeBron James",0,"noData","noData","noData",0,0,NULL,0
322,"Kentavious Caldwell-Pope",0,"noData","noData","noData",0,0,NULL,0
323,"Dennis Schröder",0,"noData","noData","noData",0,0,NULL,0
324,"Andre Drummond",0,"noData","noData","noData",0,0,NULL,0
325,"Alex Caruso",0,"noData","noData","noData",0,0,NULL,0
326,"Kyle Kuzma",0,"noData","noData","noData",0,0,NULL,0
327,"Montrezl Harrell",0,"noData","noData","noData",0,0,NULL,0
328,"Wesley Matthews",0,"noData","noData","noData",0,0,NULL,0
329,"Talen Horton-Tucker",0,"noData","noData","noData",0,0,NULL,0
330,"Jared Dudley",0,"noData","noData","noData",0,0,NULL,0
331,"Marc Gasol",0,"noData","noData","noData",0,0,NULL,0
332,"Alfonzo McKinnie",0,"noData","noData","noData",0,0,NULL,0
333,"Markieff Morris",0,"noData","noData","noData",0,0,NULL,0
334,"Ben McLemore",0,"noData","noData","noData",0,0,NULL,0
335,"Devin Booker",0,"noData","noData","noData",0,0,NULL,0
336,"Mikal Bridges",0,"noData","noData","noData",0,0,NULL,0
337,"Chris Paul",0,"noData","noData","noData",0,0,NULL,0
338,"Jae Crowder",0,"noData","noData","noData",0,0,NULL,0
339,"Cameron Johnson",0,"noData","noData","noData",0,0,NULL,0
340,"Cameron Payne",0,"noData","noData","noData",0,0,NULL,0
341,"Dario Šarić",0,"noData","noData","noData",0,0,NULL,0
342,"Torrey Craig",0,"noData","noData","noData",0,0,NULL,0
343,"ETwaun Moore",0,"noData","noData","noData",0,0,NULL,0
344,"Jevon Carter",0,"noData","noData","noData",0,0,NULL,0
345,"Frank Kaminsky",0,"noData","noData","noData",0,0,NULL,0
346,"Jalen Smith",0,"noData","noData","noData",0,0,NULL,0
